"","year","ward","cost","category","program","description"
"1",2012,1,6354,"Streets & Transportation","Alley Resurfacing Menu","N WESTERN AVE & N CLAREMONT AVE & W NORTH AVE & 0.00 "
"2",2012,1,2800,"Streets & Transportation","Alley Speed Hump Menu","N WOOD ST & N HONORE ST & W AUGUSTA BLVD & W 0.00 "
"3",2012,1,3150,"Streets & Transportation","Bollard Menu","ON W BELMONT AVE FROM 2441 W TO N CAMPBELL AV 1.00 "
"4",2012,1,19882,"Streets & Transportation","Curb & Gutter Menu","ON N MAPLEWOOD AVE FROM W BELDEN AV (2300 N) TO W 0.00 "
"5",2012,1,1000,"Streets & Transportation","Pavement Markings","W CHARLESTON ST & N WESTERN AVE 0.00 "
"6",2012,1,400,"Streets & Transportation","Pavement Markings","W ARMITAGE AVE & N MILWAUKEE AVE 0.00 "
"7",2012,1,600,"Streets & Transportation","Pavement Markings","W DIVERSEY PKWY & N ROCKWELL ST 0.00 "
"8",2012,1,11954,"Streets & Transportation","Sidewalk Menu","ON W BELDEN AVE FROM N TALMAN AV (2632 W) TO N 0.00 "
"9",2012,1,10065,"Streets & Transportation","Sidewalk Menu","ON N WOOD ST FROM W BEACH AV (1422 N) TO W LE 0.00 "
"10",2012,1,1594,"Streets & Transportation","Sidewalk Menu","ON N MARION CT FROM W DIVISION ST (1200 N) TO W 0.00 "
"11",2012,1,193749,"Streets & Transportation","Street Resurfacing Menu","ON N CAMPBELL AVE FROM W NORTH AV (1600 N) TO W 0.50 "
"12",2012,1,73623,"Streets & Transportation","Street Resurfacing Menu","ON N ROCKWELL ST FROM W CORTLAND ST (1900 N) TO W 1.00 "
"13",2012,1,10588,"Streets & Transportation","Street Resurfacing Menu","ON W JULIA CT FROM N STAVE ST (2728 W) TO Dead End 1.00 "
"14",2012,1,19195,"Streets & Transportation","Street Resurfacing Menu","ON W LE MOYNE ST FROM N OAKLEY BV (2300 W) TO N 1.00 "
"15",2012,1,34143,"Streets & Transportation","Street Resurfacing Menu","ON W CHARLESTON ST FROM N CAMPBELL AV (2450 W) TO 1.00 "
"16",2012,1,47986,"Streets & Transportation","Street Resurfacing Menu","ON N ROCKWELL ST FROM N MILWAUKEE AV (2125 N) TO 1.00 "
"17",2012,1,3700,"Streets & Transportation","Street Speed Hump Menu","ON N ELK GROVE AVE FROM N WOOD ST (1800 W) TO W 2.00 "
"18",2012,1,3700,"Streets & Transportation","Street Speed Hump Menu","ON N MARION CT FROM W DIVISION ST (1200 N) TO W 1.00 "
"19",2012,1,3700,"Streets & Transportation","Street Speed Hump Menu","ON N ROCKWELL ST FROM W FULLERTON AV (2400 N) TO W 1.00 "
"20",2012,1,3700,"Streets & Transportation","Street Speed Hump Menu","ON W ST PAUL AVE FROM N WINNEBAGO AV (2269 W) TO N 2.00 "
"21",2012,1,2500,"Lighting","Floodlight Menu","W POTOMAC AVE & N LEAVITT ST "
"22",2012,1,500,"Lighting","Floodlight Menu","N CAMPBELL AVE & W IOWA ST "
"23",2012,1,1000,"Lighting","Floodlight Menu",""
"24",2012,1,15011,"Streets & Transportation","Pedestrian Countdown","N WESTERN AVE & W NORTH AVE "
"25",2012,1,11000,"Lighting","Street Light Arterial","W POTOMAC AVE & N LEAVITT ST "
"26",2012,1,128000,"Lighting","Street Light Residential","ON ROCKWELL FROM W BLOOMINGDALE AV (1800 N) TO "
"27",2012,1,1400,"Lighting","Street Light Upgrade","ON WINCHESTER FROM W AUGUSTA BV (1000 N) TO W "
"28",2012,1,700,"Lighting","Street Light Upgrade","ON STAVE FROM W ARMITAGE AV (2000 N) TO W FRANCIS "
"29",2012,1,350,"Lighting","Street Light Upgrade","ON BINGHAM FROM W ARMITAGE AV (2000 N) TO W "
"30",2012,1,700,"Lighting","Street Light Upgrade","1300 N LEAVITT ST "
"31",2012,1,400,"Lighting","Street Light Upgrade","N CAMPBELL AVE & W IOWA ST "
"32",2012,1,1400,"Lighting","Street Light Upgrade","ON SUPERIOR FROM N DAMEN AV (2000 W) TO N WOOD ST "
"33",2012,1,605000,"Parks & Recreation","Chicago Park District","Haas Park Field House "
"34",2012,1,100000,"Schools & Libraries","School Projects","Goethe School - Campus Park "
"35",2012,1,155,"Schools & Libraries","School Projects","LaSalle II Elementary School - playground )TPC="
"36",2012,2,11547,"Streets & Transportation","Alley Apron Menu","ON W VAN BUREN ST FROM 1534 W TO S LAFLIN ST (1500 W) 1.00 "
"37",2012,2,11545,"Streets & Transportation","Alley Apron Menu","ON S ASHLAND AVE FROM 333 S TO W JACKSON BV (300 S) 1.00 "
"38",2012,2,8268,"Streets & Transportation","Alley Apron Menu","ON S LOOMIS ST FROM S TO W FILLMORE ST (1050 S) 1.00 "
"39",2012,2,9686,"Streets & Transportation","Alley Apron Menu","ON S LAFLIN ST FROM 1013 S TO W FILLMORE ST (1050 S) 1.00 "
"40",2012,2,39539,"Streets & Transportation","Alley Resurfacing Menu","W MADISON ST & W MONROE ST & S WESTERN AVE & S 0.00 "
"41",2012,2,6638,"Streets & Transportation","Alley Resurfacing Menu","ON LOOMIS FROM W TAYLOR ST (1000 S) TO W FILLMORE "
"42",2012,2,12736,"Streets & Transportation","Alley Resurfacing Menu","S MORGAN ST & S SANGAMON ST & W MONROE ST & W 0.00 "
"43",2012,2,2981,"Streets & Transportation","Alley Resurfacing Menu","S WABASH AVE & S WABASH AVE & E CERMAK RD & E 1.00 "
"44",2012,2,800,"Streets & Transportation","Bollard Menu","ON S ASHLAND AVE FROM S TO W VAN BUREN ST (400 S) 1.00 "
"45",2012,2,2506,"Streets & Transportation","Curb & Gutter Menu","ON S CALUMET AVE FROM E 18TH ST (1800 S) TO E 0.00 "
"46",2012,2,73623,"Streets & Transportation","Curb & Gutter Menu","ON W HARRISON ST FROM S WASHTENAW AV (2700 W) TO S 0.00 "
"47",2012,2,10000,"Streets & Transportation","Miscellaneous Other","Temporary Parking signs in WEst Loop 1.00 "
"48",2012,2,117050,"Beautification","Miscellaneous Other","Congress Pkwy - Michigan and Wells Landscape & LED preservation 1.00 "
"49",2012,2,30000,"Beautification","Miscellaneous Other","Martin Luther King Boulevard artwork installation "
"50",2012,2,29712,"Streets & Transportation","Sidewalk Menu","ON S WABASH AVE FROM E 24 ST (2400 S) TO E 24 PL (2432 S) 0.00 "
"51",2012,2,3797,"Streets & Transportation","Sidewalk Menu","ON N FRANCISCO AVE FROM W WARREN BV (23 N) TO W 0.00 "
"52",2012,2,21113,"Streets & Transportation","Sidewalk Menu","ON HARRISON FROM S CALIFORNIA AV (2800 W) TO S 0.00 "
"53",2012,2,3394,"Streets & Transportation","Sidewalk Menu","800 S STATE ST 0.00 "
"54",2012,2,215,"Streets & Transportation","Sidewalk Menu","ON N CALIFORNIA AVE FROM W WASHINGTON BV (100 N) 0.00 "
"55",2012,2,19182,"Streets & Transportation","Sidewalk Menu","ON S JEFFERSON ST FROM W TILDEN ST (426 S) TO W VAN 0.00 "
"56",2012,2,107489,"Streets & Transportation","Street Resurfacing Menu","ON S LAFLIN ST FROM W POLK ST (800 S) TO W FILLMORE 2.00 "
"57",2012,2,66167,"Streets & Transportation","Street Resurfacing Menu","ON W POLK ST FROM S FRANCISCO AV (2900 W) TO S 1.00 "
"58",2012,2,135686,"Streets & Transportation","Street Resurfacing Menu","ON S SANGAMON ST FROM W JACKSON BV (300 S) TO Dead 2.00 "
"59",2012,2,35504,"Streets & Transportation","Street Resurfacing Menu","ON S THROOP ST FROM W WASHBURNE AV (1225 S) TO W 1.00 "
"60",2012,2,108718,"Streets & Transportation","Street Resurfacing Menu","ON S THROOP ST FROM W TAYLOR ST (1000 S) TO W 2.00 "
"61",2012,2,5500,"Lighting","Floodlight Menu","ON LAKE FROM N ALBANY AV (3100 W) TO N "
"62",2012,2,11500,"Streets & Transportation","Left-Turn Arrow Menu","S CLARK ST & W HARRISON ST "
"63",2012,2,5400,"Lighting","Street Light Piggy Back","ON 32 FROM DR. MARTIN LUTHER KING JR. DR (358 E) TO S "
"64",2012,2,8100,"Lighting","Street Light Piggy Back","ON 24 FROM S STATE ST (0 E) TO S INDIANA AV (200 E) "
"65",2012,2,1500,"Lighting","Street Light Pole Painting","ON GREEN FROM W ADAMS ST (200 S) TO W VAN BUREN ST "
"66",2012,2,6600,"Lighting","Street Light Pole Painting","ON ROOSEVELT FROM S LOOMIS ST (1400 W) TO S "
"67",2012,2,2400,"Lighting","Street Light Pole Painting","ON VAN BUREN FROM S FRANKLIN ST (300 W) TO S "
"68",2012,2,1800,"Lighting","Street Light Pole Painting","ON S HOYNE AVE FROM W CONGRESS PW (500 S) TO W 6.00 "
"69",2012,2,5000,"Lighting","Street Light Pole Painting","ON POLK FROM S PAULINA ST (1700 W) TO S DAMEN AV "
"70",2012,2,12000,"Lighting","Street Light Pole Painting","ON CANAL FROM W 14 PL (1440 S) TO W ROOSEVELT RD "
"71",2012,2,2400,"Lighting","Street Light Pole Painting","ON HERMITAGE FROM W TAYLOR ST (1000 S) TO W "
"72",2012,2,18500,"Lighting","Street Light Pole Painting","ON MICHIGAN FROM E ROOSEVELT RD (1200 S) TO E "
"73",2012,2,4200,"Lighting","Street Light Pole Painting","ON 24 FROM S STATE ST (0 E) TO S INDIANA AV (200 E) "
"74",2012,2,3600,"Lighting","Street Light Pole Painting","ON PAULINA FROM W MADISON ST (0 N) TO W JACKSON "
"75",2012,2,14100,"Lighting","Street Light Pole Painting","ON S STATE ST FROM W ROOSEVELT RD (1200 S) TO W 15 ST 47.00 "
"76",2012,2,2400,"Lighting","Street Light Pole Painting","ON ADAMS FROM S MORGAN ST (1000 W) TO S GREEN ST "
