"","description","costA","costB","ward","program","year","cost"
"1","N WESTERN AVE & N CLAREMONT AVE & W NORTH AVE & 0.00 ","6,354.00",NA,"1","Alley Resurfacing Menu",2012,6354
"2","N WOOD ST & N HONORE ST & W AUGUSTA BLVD & W 0.00 ","2,800.00",NA,"1","Alley Speed Hump Menu",2012,2800
"3","ON W BELMONT AVE FROM 2441 W TO N CAMPBELL AV 1.00 ","3,150.00",NA,"1","Bollard Menu",2012,3150
"4","ON N MAPLEWOOD AVE FROM W BELDEN AV (2300 N) TO W 0.00 ","19,882.00",NA,"1","Curb & Gutter Menu",2012,19882
"5","W CHARLESTON ST & N WESTERN AVE 0.00 ","1,000.00",NA,"1","Pavement Markings",2012,1000
"6","W ARMITAGE AVE & N MILWAUKEE AVE 0.00 ","400.00",NA,"1","Pavement Markings",2012,400
"7","W DIVERSEY PKWY & N ROCKWELL ST 0.00 ","600.00",NA,"1","Pavement Markings",2012,600
"8","ON W BELDEN AVE FROM N TALMAN AV (2632 W) TO N 0.00 ","11,954.00",NA,"1","Sidewalk Menu",2012,11954
"9","ON N WOOD ST FROM W BEACH AV (1422 N) TO W LE 0.00 ","10,065.00",NA,"1","Sidewalk Menu",2012,10065
"10","ON N MARION CT FROM W DIVISION ST (1200 N) TO W 0.00 ","1,594.00",NA,"1","Sidewalk Menu",2012,1594
"11","ON N CAMPBELL AVE FROM W NORTH AV (1600 N) TO W 0.50 ","193,749.00",NA,"1","Street Resurfacing Menu",2012,193749
"12","ON N ROCKWELL ST FROM W CORTLAND ST (1900 N) TO W 1.00 ","73,623.00",NA,"1","Street Resurfacing Menu",2012,73623
"13","ON W JULIA CT FROM N STAVE ST (2728 W) TO Dead End 1.00 ","10,588.00",NA,"1","Street Resurfacing Menu",2012,10588
"14","ON W LE MOYNE ST FROM N OAKLEY BV (2300 W) TO N 1.00 ","19,195.00",NA,"1","Street Resurfacing Menu",2012,19195
"15","ON W CHARLESTON ST FROM N CAMPBELL AV (2450 W) TO 1.00 ","34,143.00",NA,"1","Street Resurfacing Menu",2012,34143
"16","ON N ROCKWELL ST FROM N MILWAUKEE AV (2125 N) TO 1.00 ","47,986.00",NA,"1","Street Resurfacing Menu",2012,47986
"17","ON N ELK GROVE AVE FROM N WOOD ST (1800 W) TO W 2.00 ","3,700.00",NA,"1","Street Speed Hump Menu",2012,3700
"18","ON N MARION CT FROM W DIVISION ST (1200 N) TO W 1.00 ","3,700.00",NA,"1","Street Speed Hump Menu",2012,3700
"19","ON N ROCKWELL ST FROM W FULLERTON AV (2400 N) TO W 1.00 ","3,700.00",NA,"1","Street Speed Hump Menu",2012,3700
"20","ON W ST PAUL AVE FROM N WINNEBAGO AV (2269 W) TO N 2.00 ","3,700.00",NA,"1","Street Speed Hump Menu",2012,3700
"21","W POTOMAC AVE & N LEAVITT ST ","2,500.00",NA,"1","Floodlight Menu",2012,2500
"22","N CAMPBELL AVE & W IOWA ST ","500.00",NA,"1","Floodlight Menu",2012,500
"23","","1,000.00",NA,"1","Floodlight Menu",2012,1000
"24","N WESTERN AVE & W NORTH AVE ","15,011.00",NA,"1","Pedestrian Countdown",2012,15011
"25","W POTOMAC AVE & N LEAVITT ST ","11,000.00",NA,"1","Street Light Arterial",2012,11000
"26","ON ROCKWELL FROM W BLOOMINGDALE AV (1800 N) TO ","128,000.00",NA,"1","Street Light Residential",2012,128000
"27","ON WINCHESTER FROM W AUGUSTA BV (1000 N) TO W ","1,400.00",NA,"1","Street Light Upgrade",2012,1400
"28","ON STAVE FROM W ARMITAGE AV (2000 N) TO W FRANCIS ","700.00",NA,"1","Street Light Upgrade",2012,700
"29","ON BINGHAM FROM W ARMITAGE AV (2000 N) TO W ","350.00",NA,"1","Street Light Upgrade",2012,350
"30","1300 N LEAVITT ST ","700.00",NA,"1","Street Light Upgrade",2012,700
"31","N CAMPBELL AVE & W IOWA ST ","400.00",NA,"1","Street Light Upgrade",2012,400
"32","ON SUPERIOR FROM N DAMEN AV (2000 W) TO N WOOD ST ","1,400.00",NA,"1","Street Light Upgrade",2012,1400
"33","Haas Park Field House ","605,000.00",NA,"1","Chicago Park District",2012,605000
"34","Goethe School - Campus Park ","100,000.00",NA,"1","School Projects",2012,100000
"35","LaSalle II Elementary School - playground )TPC=","25,000 2011-2013 ","155.00","1","School Projects",2012,155
"36","ON W VAN BUREN ST FROM 1534 W TO S LAFLIN ST (1500 W) 1.00 ","11,547.00",NA,"2","Alley Apron Menu",2012,11547
"37","ON S ASHLAND AVE FROM 333 S TO W JACKSON BV (300 S) 1.00 ","11,545.00",NA,"2","Alley Apron Menu",2012,11545
"38","ON S LOOMIS ST FROM S TO W FILLMORE ST (1050 S) 1.00 ","8,268.00",NA,"2","Alley Apron Menu",2012,8268
"39","ON S LAFLIN ST FROM 1013 S TO W FILLMORE ST (1050 S) 1.00 ","9,686.00",NA,"2","Alley Apron Menu",2012,9686
"40","W MADISON ST & W MONROE ST & S WESTERN AVE & S 0.00 ","39,539.00",NA,"2","Alley Resurfacing Menu",2012,39539
"41","ON LOOMIS FROM W TAYLOR ST (1000 S) TO W FILLMORE ","6,638.00",NA,"2","Alley Resurfacing Menu",2012,6638
"42","S MORGAN ST & S SANGAMON ST & W MONROE ST & W 0.00 ","12,736.00",NA,"2","Alley Resurfacing Menu",2012,12736
"43","S WABASH AVE & S WABASH AVE & E CERMAK RD & E 1.00 ","2,981.00",NA,"2","Alley Resurfacing Menu",2012,2981
"44","ON S ASHLAND AVE FROM S TO W VAN BUREN ST (400 S) 1.00 ","800.00",NA,"2","Bollard Menu",2012,800
"45","ON S CALUMET AVE FROM E 18TH ST (1800 S) TO E 0.00 ","2,506.00",NA,"2","Curb & Gutter Menu",2012,2506
"46","ON W HARRISON ST FROM S WASHTENAW AV (2700 W) TO S 0.00 ","73,623.00",NA,"2","Curb & Gutter Menu",2012,73623
"47","Temporary Parking signs in WEst Loop 1.00 ","10,000.00",NA,"2","Miscellaneous Other",2012,10000
"48","Congress Pkwy - Michigan and Wells Landscape & LED preservation 1.00 ","117,050.00",NA,"2","Miscellaneous Other",2012,117050
"49","Martin Luther King Boulevard artwork installation ","30,000.00",NA,"2","Miscellaneous Other",2012,30000
"50","ON S WABASH AVE FROM E 24 ST (2400 S) TO E 24 PL (2432 S) 0.00 ","29,712.00",NA,"2","Sidewalk Menu",2012,29712
"51","ON N FRANCISCO AVE FROM W WARREN BV (23 N) TO W 0.00 ","3,797.00",NA,"2","Sidewalk Menu",2012,3797
"52","ON HARRISON FROM S CALIFORNIA AV (2800 W) TO S 0.00 ","21,113.00",NA,"2","Sidewalk Menu",2012,21113
"53","800 S STATE ST 0.00 ","3,394.00",NA,"2","Sidewalk Menu",2012,3394
"54","ON N CALIFORNIA AVE FROM W WASHINGTON BV (100 N) 0.00 ","215.00",NA,"2","Sidewalk Menu",2012,215
"55","ON S JEFFERSON ST FROM W TILDEN ST (426 S) TO W VAN 0.00 ","19,182.00",NA,"2","Sidewalk Menu",2012,19182
"56","ON S LAFLIN ST FROM W POLK ST (800 S) TO W FILLMORE 2.00 ","107,489.00",NA,"2","Street Resurfacing Menu",2012,107489
"57","ON W POLK ST FROM S FRANCISCO AV (2900 W) TO S 1.00 ","66,167.00",NA,"2","Street Resurfacing Menu",2012,66167
"58","ON S SANGAMON ST FROM W JACKSON BV (300 S) TO Dead 2.00 ","135,686.00",NA,"2","Street Resurfacing Menu",2012,135686
"59","ON S THROOP ST FROM W WASHBURNE AV (1225 S) TO W 1.00 ","35,504.00",NA,"2","Street Resurfacing Menu",2012,35504
"60","ON S THROOP ST FROM W TAYLOR ST (1000 S) TO W 2.00 ","108,718.00",NA,"2","Street Resurfacing Menu",2012,108718
"61","ON LAKE FROM N ALBANY AV (3100 W) TO N ","5,500.00",NA,"2","Floodlight Menu",2012,5500
"62","S CLARK ST & W HARRISON ST ","11,500.00",NA,"2","Left-Turn Arrow Menu",2012,11500
"63","ON 32 FROM DR. MARTIN LUTHER KING JR. DR (358 E) TO S ","5,400.00",NA,"2","Street Light Piggy Back",2012,5400
"64","ON 24 FROM S STATE ST (0 E) TO S INDIANA AV (200 E) ","8,100.00",NA,"2","Street Light Piggy Back",2012,8100
"65","ON GREEN FROM W ADAMS ST (200 S) TO W VAN BUREN ST ","1,500.00",NA,"2","Street Light Pole Painting",2012,1500
"66","ON ROOSEVELT FROM S LOOMIS ST (1400 W) TO S ","6,600.00",NA,"2","Street Light Pole Painting",2012,6600
"67","ON VAN BUREN FROM S FRANKLIN ST (300 W) TO S ","2,400.00",NA,"2","Street Light Pole Painting",2012,2400
"68","ON S HOYNE AVE FROM W CONGRESS PW (500 S) TO W 6.00 ","1,800.00",NA,"2","Street Light Pole Painting",2012,1800
"69","ON POLK FROM S PAULINA ST (1700 W) TO S DAMEN AV ","5,000.00",NA,"2","Street Light Pole Painting",2012,5000
"70","ON CANAL FROM W 14 PL (1440 S) TO W ROOSEVELT RD ","12,000.00",NA,"2","Street Light Pole Painting",2012,12000
"71","ON HERMITAGE FROM W TAYLOR ST (1000 S) TO W ","2,400.00",NA,"2","Street Light Pole Painting",2012,2400
"72","ON MICHIGAN FROM E ROOSEVELT RD (1200 S) TO E ","18,500.00",NA,"2","Street Light Pole Painting",2012,18500
"73","ON 24 FROM S STATE ST (0 E) TO S INDIANA AV (200 E) ","4,200.00",NA,"2","Street Light Pole Painting",2012,4200
"74","ON PAULINA FROM W MADISON ST (0 N) TO W JACKSON ","3,600.00",NA,"2","Street Light Pole Painting",2012,3600
"75","ON S STATE ST FROM W ROOSEVELT RD (1200 S) TO W 15 ST 47.00 ","14,100.00",NA,"2","Street Light Pole Painting",2012,14100
"76","ON ADAMS FROM S MORGAN ST (1000 W) TO S GREEN ST ","2,400.00",NA,"2","Street Light Pole Painting",2012,2400
"77","ON HARRISON FROM S OAKLEY BV (2300 W) TO S DAMEN ","12,600.00",NA,"2","Street Light Pole Painting",2012,12600
"78","ON VAN BUREN FROM S STATE ST (0 E) TO S CONGRESS ","8,600.00",NA,"2","Street Light Pole Painting",2012,8600
"79","ON MONROE FROM S MORGAN ST (1000 W) TO S PEORIA ST ","2,400.00",NA,"2","Street Light Pole Painting",2012,2400
"80","ON PAULINA FROM W HARRISON ST (600 S) TO W POLK ST ","3,300.00",NA,"2","Street Light Pole Painting",2012,3300
"81","ON S WOLCOTT AVE FROM W GRENSHAW ST (1120 S) TO W 6.00 ","1,200.00",NA,"2","Street Light Pole Painting",2012,1200
