"","program","description","costA","ward","year","cost","costB"
"1","Clemente High School - Field Restoration","1147 N WESTERN AVE","$70,100.00","1",2018,70100,NA
"2","Maplewood Park - Field House","1640 N MAPLEWOOD AVE","$150,000.00","1",2018,150000,NA
"3","Pritzker Elementary - Playground Renovation","2009 W SCHILLER ST","$400,000.00","1",2018,400000,NA
"4","Alley Apron Menu ","2534 W CHARLESTON ST","$12,110.28","1",2018,12110.28,NA
"5","Alley Apron Menu ","1212 W ERIE ST","$8,963.35","1",2018,8963.35,NA
"6","Alley Resurfacing Menu ","ROCKWELL ST","$22,793.05","1",2018,22793.05,NA
"7","Alley Resurfacing Menu ","BELDEN AVE","$13,205.57","1",2018,13205.57,NA
"8","Alley Resurfacing Menu (1-1) ","W OHIO ST & N DAMEN AVE&W RACE AVE & N WOLCOTT AVE","$19,090.16","1",2018,19090.16,NA
"9","Alley Resurfacing Menu ","N DAMEN AVE & W PIERCE AVE&N HOYNE AVE & W NORTH AVE","$8,966.32","1",2018,8966.32,NA
"10","Alley Resurfacing Menu ","W LE MOYNE ST & N DAMEN AVE&W PIERCE AVE & N HOYNE AVE","$37,924.70","1",2018,37924.7,NA
"11","Alley Resurfacing Menu ","W ARMITAGE AVE & N BINGHAM ST&W FRANCIS PL & N MILWAUKEE AVE","$96,085.28","1",2018,96085.28,NA
"12","Arterial Street Bump Outs Menu (2017)","N DAMEN AVE & W PIERCE AVE:N DAMEN AVE & W LE MOYNE ST","$18,513.27","1",2018,18513.27,NA
"13","High Definition Camera Menu ","$1,800.00","$1,800.00","1",2018,1800,NA
"14","In-Road State Law Stop For Pedestrians Signs","N CALIFORNIA AVE & W ALTGELD ST","$600.00","1",2018,600,NA
"15","In-Road State Law Stop For Pedestrians Signs","N CALIFORNIA AVE & W SHAKESPEARE AVE","$350.00","1",2018,350,NA
"16","In-Road State Law Stop For Pedestrians Signs","N CALIFORNIA AVE & W PALMER ST","$350.00","1",2018,350,NA
"17","In-Road State Law Stop For Pedestrians Signs","N MILWAUKEE AVE & W MEDILL AVE","$350.00","1",2018,350,NA
"18","In-Road State Law Stop For Pedestrians Signs","N MILWAUKEE AVE & N HONORE ST","$350.00","1",2018,350,NA
"19","In-Road State Law Stop For Pedestrians Signs","N DAMEN AVE & W HURON ST","$600.00","1",2018,600,NA
"20","In-Road State Law Stop For Pedestrians Signs","N DAMEN AVE & W EVERGREEN AVE","$600.00","1",2018,600,NA
"21","In-Road State Law Stop For Pedestrians Signs","N DAMEN AVE & W LE MOYNE ST","$600.00","1",2018,600,NA
"22","In-Road State Law Stop For Pedestrians Signs","W DIVISION ST & N HOYNE AVE","$350.00","1",2018,350,NA
"23","In-Road State Law Stop For Pedestrians Signs","W DIVISION ST & N PAULINA ST","$350.00","1",2018,350,NA
"24","In-Road State Law Stop For Pedestrians Signs","W AUGUSTA BLVD & N PAULINA ST","$350.00","1",2018,350,NA
"25","In-Road State Law Stop For Pedestrians Signs","(2018) AVE & W ALTGELD ST","$600.00","1",2018,600,NA
"26","In-Road State Law Stop For Pedestrians Signs","(2018) AVE & W MEDILL AVE","$350.00","1",2018,350,NA
"27","In-Road State Law Stop For Pedestrians Signs","(2018) AVE & N HONORE ST","$350.00","1",2018,350,NA
"28","In-Road State Law Stop For Pedestrians Signs","AVE & W EVERGREEN AVE","$350.00","1",2018,350,NA
"29","In-Road State Law Stop For Pedestrians Signs","(2018)ST & N PAULINA ST","$350.00","1",2018,350,NA
"30","Pedestrian Refuge Island Menu ","W NORTH AVE & N ARTESIAN AVE","$54,959.40","1",2018,54959.4,NA
"31","Sidewalk Menu ","1100-1171 N MARSHFIELD AVE","$1,949.34","1",2018,1949.34,NA
"32","Sidewalk Menu ","1364 W GRAND AVE","$15,931.05","1",2018,15931.05,NA
"33","Sidewalk Menu ","2459 W MOFFAT ST","$6,737.51","1",2018,6737.51,NA
"34","Sidewalk Menu ","1815 W RACE AVE","$5,826.73","1",2018,5826.73,NA
"35","Sidewalk Menu (2019)","836 N GREENVIEW AVE","$854.49","1",2018,854.49,NA
"36","Street Resurfacing Menu (1-5) ","CALIFORNIA AVE (2800 W)","$59,316.04","1",2018,59316.04,NA
"37","Street Resurfacing Menu (1-5) ","(1600 N)","$106,230.91","1",2018,106230.91,NA
"38","Street Resurfacing Menu (1-5) ","W)","$45,900.84","1",2018,45900.84,NA
"39","Street Resurfacing Menu ","ST (1500 N)","$29,548.88","1",2018,29548.88,NA
"40","Street Resurfacing Menu ","N)","$28,110.98","1",2018,28110.98,NA
"41","Street Resurfacing Menu ","ON W ANCONA ST FROM 1301 W TO N NOBLE ST (1400 W)","$50,156.41","1",2018,50156.41,NA
"42","Street Resurfacing Menu ","(1400 N)","$40,675.43","1",2018,40675.43,NA
"43","Street Speed Hump Menu ","ON N WASHTENAW AVE FROM W LE MOYNE ST (1500 N) TO W NORTH AVE (1600 N)","$3,700.00","1",2018,3700,NA
"44","Street Speed Hump Menu ","ON N TALMAN AVE FROM W LE MOYNE ST (1500 N) TO W NORTH AVE (1600 N)","$3,700.00","1",2018,3700,NA
"45","Curb & Gutter Menu ","LAKE SHORE DR (300 E)","$33,821.46","2",2018,33821.46,NA
"46","Floodlight Menu ","220 E LAKE SHORE DR:140 E LAKE SHORE DR:170 E LAKE SHORE DR","$2,700.00","2",2018,2700,NA
"47","In-Road State Law Stop For Pedestrians Signs","W FULLERTON AVE & N LAKEWOOD AVE","$350.00","2",2018,350,NA
"48","In-Road State Law Stop For Pedestrians Signs","N CLARK ST & W GERMANIA PL","$600.00","2",2018,600,NA
"49","In-Road State Law Stop For Pedestrians Signs","176 E CHESTNUT ST","$350.00","2",2018,350,NA
"50","In-Road State Law Stop For Pedestrians Signs","(2019)","ST","2",2018,NA,NA
"51","In-Road State Law Stop For Pedestrians Signs","Menu","(2019) AVE & N LAKEWOOD AVE","2",2018,NA,NA
"52","Left-Turn Arrow Menu (2019)","E CHICAGO AVE & N MIES VAN DER ROHE WAY","$17,183.81","2",2018,17183.81,NA
"53","Left-Turn Arrow Menu (2019)","W NORTH AVE & N WELLS ST","$14,688.47","2",2018,14688.47,NA
"54","Miscellaneous CDOT Projects ","E CHICAGO AVE & N LAKE SHORE DR","$15,764.68","2",2018,15764.68,NA
"55","Pedestrian Countdown Signal","W NORTH AVE & N ELSTON AVE","$3,551.00","2",2018,3551,NA
"56","OEMC POD CAMERA - 1500 W DIVISION","1500 W DIVISION ST","$27,011.00","2",2018,27011,NA
"57","POD CAMERA - 2210 N SOUTHPORT AVE","2210 N SOUTHPORT AVE","$27,011.00","2",2018,27011,NA
"58","POD CAMERA - PEARSON ST & DEWITT PLACE E PEARSON ST & N DEWITT PL","$27,011.00","$27,011.00","2",2018,27011,NA
"59","Sidewalk Menu ","N STATE ST & E BELLEVUE PL","$15,736.73","2",2018,15736.73,NA
"60","Sidewalk Menu ","23-29 W MAPLE ST","$13,195.30","2",2018,13195.3,NA
"61","Sidewalk Menu ","2125-2131 N LAKEWOOD AVE","$4,608.07","2",2018,4608.07,NA
"62","Sidewalk Menu ","102 W GERMANIA PL","$63,565.31","2",2018,63565.31,NA
"63","Street Bump Outs Menu ","172 E CHESTNUT ST","$7,933.16","2",2018,7933.16,NA
"64","Street Resurfacing Menu (1-5) ","(1500 N)","$202,970.98","2",2018,202970.98,NA
"65","Street Resurfacing Menu (1-5) ","W)","$110,515.00","2",2018,110515,NA
"66","Street Resurfacing Menu (1-5) ","AVE (1600 N)","$51,647.45","2",2018,51647.45,NA
"67","Street Resurfacing Menu ","(1600 N)","$270,338.00","2",2018,270338,NA
